agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
112,2,4,T0735:49.000,455.81668,15.916687,900.0000,0,19.700000,-9.700000
113,1,1,T0720:03.250,440.05417,0.000000,953.7506,215,0.000000,-0.100000
113,2,4,T0735:57.000,455.95001,15.895844,900.0000,0,19.700000,-9.700000
114,1,1,T0720:09.499,440.15833,0.000000,957.5006,230,0.000000,-0.100000
114,2,4,T0736:07.000,456.11667,15.958344,900.0000,0,19.700000,-9.700000
115,1,1,T0720:21.000,440.35001,0.000000,952.9999,211,0.000000,-0.100000
115,2,4,T0736:14.000,456.23334,15.883331,900.0000,0,19.700000,-9.700000
116,1,1,T0720:28.000,440.46667,0.000000,952.9999,211,0.000000,-0.100000
116,2,4,T0736:21.000,456.35001,15.883331,900.0000,0,19.700000,-9.700000
117,1,1,T0720:35.000,440.58334,0.000000,952.9999,211,0.000000,-0.100000
117,2,4,T0736:28.000,456.46667,15.883331,900.0000,0,19.700000,-9.700000
118,1,1,T0720:44.000,440.73334,0.000000,951.0004,204,0.000000,-0.100000
118,2,4,T0736:35.000,456.58334,15.850006,900.0000,0,19.700000,-9.700000
119,1,1,T0720:53.000,440.88333,0.000000,950.0006,200,0.000000,-0.100000
119,2,4,T0736:43.000,456.71667,15.833344,900.0000,0,19.700000,-9.700000
120,1,1,T0720:58.500,440.97501,0.000000,953.4998,213,0.000000,-0.100000
120,2,4,T0736:52.000,456.86667,15.891663,900.0000,0,19.700000,-9.700000
121,1,1,T0721:08.499,441.14166,0.000000,952.5000,210,0.000000,-0.100000
121,2,4,T0737:01.000,457.01666,15.875000,900.0000,0,19.700000,-9.700000
122,1,1,T0721:19.000,441.31668,0.000000,950.9985,203,0.000000,-0.100000
122,2,4,T0737:10.000,457.16666,15.849976,900.0000,0,19.700000,-9.700000
123,1,1,T0721:26.000,441.43332,0.000000,954.0015,216,0.000000,-0.100000
123,2,4,T0737:20.000,457.33334,15.900024,900.0000,0,19.700000,-9.700000
124,1,1,T0721:34.000,441.56668,0.000000,957.9987,231,0.000000,-0.100000
124,2,4,T0737:32.000,457.53333,15.966644,900.0000,0,19.700000,-9.700000
125,1,1,T0721:42.000,441.70001,0.000000,958.9984,235,0.000000,-0.100000
125,2,4,T0737:41.000,457.68332,15.983307,900.0000,0,19.700000,-9.700000
126,1,1,T0721:48.000,441.79999,0.000000,960.0000,240,0.000000,-0.100000
126,2,4,T0737:48.000,457.79999,16.000000,900.0000,0,19.700000,-9.700000
127,1,1,T0721:57.000,441.95001,0.000000,957.9987,231,0.000000,-0.100000
127,2,4,T0737:55.000,457.91666,15.966644,900.0000,0,19.700000,-9.700000
128,1,1,T0722:06.000,442.10001,0.000000,955.9991,223,0.000000,-0.100000
128,2,4,T0738:02.000,458.03333,15.933319,900.0000,0,19.700000,-9.700000
129,1,1,T0722:13.000,442.21667,0.000000,955.9991,223,0.000000,-0.100000
129,2,4,T0738:09.000,458.14999,15.933319,900.0000,0,19.700000,-9.700000
130,1,1,T0722:22.000,442.36667,0.000000,954.9994,219,0.000000,-0.100000
130,2,4,T0738:17.000,458.28333,15.916656,900.0000,0,19.700000,-9.700000
131,1,1,T0722:30.499,442.50833,0.000000,955.4993,221,0.000000,-0.100000
131,2,4,T0738:26.000,458.43332,15.924988,900.0000,0,19.700000,-9.700000
132,1,1,T0722:39.000,442.64999,0.000000,956.0010,224,0.000000,-0.100000
132,2,4,T0738:35.000,458.58334,15.933350,900.0000,0,19.700000,-9.700000
133,1,1,T0722:47.000,442.78333,0.000000,958.0005,232,0.000000,-0.100000
133,2,4,T0738:45.000,458.75000,15.966675,900.0000,0,19.700000,-9.700000
134,1,1,T0722:56.000,442.93332,0.000000,957.0007,228,0.000000,-0.100000
134,2,4,T0738:53.000,458.88333,15.950012,900.0000,0,19.700000,-9.700000
135,1,1,T0723:03.499,443.05832,0.000000,959.5001,238,0.000000,-0.100000
135,2,4,T0739:03.000,459.04999,15.991669,900.0000,0,19.700000,-9.700000
136,1,1,T0723:10.499,443.17499,0.000000,961.5015,246,0.000000,-0.100000
136,2,4,T0739:12.000,459.20001,16.025024,900.0000,0,19.700000,-9.700000
137,1,1,T0723:19.749,443.32916,0.000000,963.2501,253,0.000000,-0.100000
137,2,4,T0739:23.000,459.38333,16.054169,900.0000,0,19.700000,-9.700000
138,1,1,T0723:26.000,443.43332,0.000000,965.0006,260,0.000000,-0.100000
138,2,4,T0739:31.000,459.51666,16.083344,900.0000,0,19.700000,-9.700000
139,1,1,T0723:35.500,443.59167,0.000000,963.4991,253,0.000000,-0.100000
