od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
58,1,31,0,30,0,0,dms,AM,27.68,1,-111.942300,40.624038,-111.944074,40.606326,2.8503,2.7633,1.7174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
59,1,32,0,31,0,0,p,AM,18.46,1,-111.942300,40.624038,-111.943375,40.616454,1.7001,1.5001,0.9323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
60,1,32,0,31,0,0,dms,AM,18.46,1,-111.942300,40.624038,-111.943375,40.616454,1.7001,1.5001,0.9323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
61,1,33,0,32,0,0,p,AM,8.02,1,-111.942300,40.624038,-111.943535,40.568001,6.6182,6.9235,4.3030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
62,1,33,0,32,0,0,dms,AM,8.02,1,-111.942300,40.624038,-111.943535,40.568001,6.6182,6.9235,4.3030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
63,1,34,0,33,0,0,p,AM,45.48,1,-111.942300,40.624038,-111.934408,40.607297,2.4084,2.5144,1.5627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
64,1,34,0,33,0,0,dms,AM,45.48,1,-111.942300,40.624038,-111.934408,40.607297,2.4084,2.5144,1.5627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
65,1,35,0,34,0,0,p,AM,6.62,1,-111.942300,40.624038,-111.924502,40.617134,2.6450,2.1854,1.3583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
66,1,35,0,34,0,0,dms,AM,6.62,1,-111.942300,40.624038,-111.924502,40.617134,2.6450,2.1854,1.3583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
67,1,36,0,35,0,0,p,AM,10.52,1,-111.942300,40.624038,-111.908054,40.616174,3.8666,3.5043,2.1780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
68,1,36,0,35,0,0,dms,AM,10.52,1,-111.942300,40.624038,-111.908054,40.616174,3.8666,3.5043,2.1780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
69,1,37,0,36,0,0,p,AM,21.09,1,-111.942300,40.624038,-111.934352,40.576870,5.6146,5.9036,3.6691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
70,1,37,0,36,0,0,dms,AM,21.09,1,-111.942300,40.624038,-111.934352,40.576870,5.6146,5.9036,3.6691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
71,1,38,0,37,0,0,p,AM,18.40,1,-111.942300,40.624038,-111.936589,40.553565,8.6164,8.4897,5.2764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
72,1,38,0,37,0,0,dms,AM,18.40,1,-111.942300,40.624038,-111.936589,40.553565,8.6164,8.4897,5.2764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
73,1,39,0,38,0,0,p,AM,7.30,1,-111.942300,40.624038,-111.908153,40.571760,9.3248,8.9908,5.5878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
74,1,39,0,38,0,0,dms,AM,7.30,1,-111.942300,40.624038,-111.908153,40.571760,9.3248,8.9908,5.5878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
75,1,40,0,39,0,0,p,AM,3.25,1,-111.942300,40.624038,-111.915638,40.613722,4.3464,3.9597,2.4610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
76,1,40,0,39,0,0,dms,AM,3.25,1,-111.942300,40.624038,-111.915638,40.613722,4.3464,3.9597,2.4610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
77,1,41,0,40,0,0,p,AM,88.92,1,-111.942300,40.624038,-111.938760,40.630427,0.9847,1.0048,0.6245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
