route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
150452,LE,LE:IPS->ELY,LE train service from IPS to ELY,2,,,,Train. Standard class only. Reservation not possible
1061,LE,LE:CLT->COL,LE train service from CLT to COL,2,,,,Train. Standard class only. Reservation not possible
113513,LE,LE:WON->COL,LE train service from WON to COL,2,,,,Train. Standard class only. Reservation not possible
1062,LE,LE:SSD->CBG,LE train service from SSD to CBG,2,,,,Train. Standard class only. Reservation not possible
1063,LE,LE:NRW->LWT,LE train service from NRW to LWT,2,,,,Train. Standard class only. Reservation not possible
187209,LE,LE:OUN->LWT,LE train service from OUN to LWT,2,,,,Train. Standard class only. Reservation not possible
1066,LE,LE:LWT->NRW,LE train service from LWT to NRW,2,,,,Train. Standard class only. Reservation not possible
1093,LE,LE:PBO->IPS,LE train service from PBO to IPS,2,,,,Train. Standard class only. Reservation not possible
92953,LE,LE:PBO->BSE,LE train service from PBO to BSE,2,,,,Train. Standard class only. Reservation not possible
150461,LE,LE:ELY->IPS,LE train service from ELY to IPS,2,,,,Train. Standard class only. Reservation not possible
1096,LE,LE:PBO->COL,LE train service from PBO to COL,2,,,,Train. Standard class only. Reservation not possible
150464,LE,LE:ELY->COL,LE train service from ELY to COL,2,,,,Train. Standard class only. Reservation not possible
1098,LE,LE:COL->CLT,LE train service from COL to CLT,2,,,,Train. Standard class only. Reservation not possible
92958,LE,LE:COL->WON,LE train service from COL to WON,2,,,,Train. Standard class only. Reservation not possible
1099,LE,LE:WON->TLS,LE train service from WON to TLS,2,,,,Train. Standard class only. Reservation not possible
1100,LE,LE:TLS->WON,LE train service from TLS to WON,2,,,,Train. Standard class only. Reservation not possible
1129,LE,LE:FLX->IPS,LE train service from FLX to IPS,2,,,,Train. Standard class only. Reservation not possible
1130,LE,LE:IPS->FLX,LE train service from IPS to FLX,2,,,,Train. Standard class only. Reservation not possible
266415,LE,LE:IPS->CBG,LE train service from IPS to CBG,2,,,,Train. Standard class only. Reservation not possible
1141,LE,LE:HPQ->CBG,LE train service from HPQ to CBG,2,,,,Train. Standard class only. Reservation not possible
92970,LE,LE:BSE->CBG,LE train service from BSE to CBG,2,,,,Train. Standard class only. Reservation not possible
1142,LE,LE:CBG->IPS,LE train service from CBG to IPS,2,,,,Train. Standard class only. Reservation not possible
92971,LE,LE:CBG->BSE,LE train service from CBG to BSE,2,,,,Train. Standard class only. Reservation not possible
1163,LE,LE:COL->IPS,LE train service from COL to IPS,2,,,,Train. Standard class only. Reservation not possible
266417,LE,LE:HPQ->IPS,LE train service from HPQ to IPS,2,,,,Train. Standard class only. Reservation not possible
1166,GW,GW:PMH->WSB,GW train service from PMH to WSB,2,,,,Train. Standard class only. Reservation not possible
150531,GW,GW:PMH->SOU,GW train service from PMH to SOU,2,,,,Train. Standard class only. Reservation not possible
1167,GW,GW:RDG->GTW,GW train service from RDG to GTW,2,,,,Train. First class available. Reservation not possible
131888,GW,GW:RDG->ASH,GW train service from RDG to ASH,2,,,,Train. First class available. Reservation not possible
170493,GW,GW:GLD->GTW,GW train service from GLD to GTW,2,,,,Train. First class available. Reservation not possible
131898,GW,GW:RDG->RDH,GW train service from RDG to RDH,2,,,,Train. First class available. Reservation not possible
1182,GW,GW:GTW->RDG,GW train service from GTW to RDG,2,,,,Train. First class available. Reservation not possible
170503,GW,GW:GTW->GLD,GW train service from GTW to GLD,2,,,,Train. First class available. Reservation not possible
131913,GW,GW:RDH->RDG,GW train service from RDH to RDG,2,,,,Train. First class available. Reservation not possible
1196,GW,GW:MLW->MAI,GW train service from MLW to MAI,2,,,,Train. Standard class only. Reservation not possible
170513,GW,GW:BNE->MAI,GW train service from BNE to MAI,2,,,,Train. Standard class only. Reservation not possible
1209,GW,GW:SJP->BNP,GW train service from SJP to BNP,2,,,,Train. Standard class only. Reservation not possible
187355,GW,GW:EXD->BNP,GW train service from EXD to BNP,2,,,,Train. Standard class only. Reservation not possible
1210,GW,GW:EXD->PLY,GW train service from EXD to PLY,2,,,,Train. Standard class only. Reservation not possible
