stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
APS,APSLEY,Apsley,0,51.73252,-0.46293,,,,,Europe/London,0
APY,APERLYB,Apperley Bridge,0,53.84175,-1.70583,,,,,Europe/London,0
ARA,ARMADLE,SKYE (ARMADALE),1,0,0,,,,,Europe/London,0
ARB,ARBROTH,Arbroath,1,56.55957,-2.58893,,,,,Europe/London,0
ARD,ARDGAY,Ardgay,0,57.88145,-4.36209,,,,,Europe/London,0
ARG,ARISAIG,Arisaig,0,56.91255,-5.83908,,,,,Europe/London,0
ARL,ARLSEY,Arlesey,0,52.02603,-0.26632,,,,,Europe/London,0
ARM,ARMDALE,Armadale (W Lothian),0,55.88571,-3.69541,,,,,Europe/London,0
ARN,ARNSIDE,Arnside,1,54.20273,-2.82824,,,,,Europe/London,0
ARP,ALVCRLP,Alvechurch - Red Lion PH,1,52.35286,-1.96096,,,,,Europe/London,0
ARR,ARRAM,Arram,0,53.88434,-0.42657,,,,,Europe/London,0
ART,ARCHRAT,Arrochar & Tarbet,0,56.20397,-4.72277,,,,,Europe/London,0
ARU,ARUNDEL,Arundel,1,50.84821,-0.54617,,,,,Europe/London,0
ARW,ARKW,ARKLOW      (CIE,0,0,0,,,,,Europe/Dublin,0
ASB,ARDRSSB,Ardrossan South Beach,1,55.64142,-4.80121,,,,,Europe/London,0
ASC,ASHCHRC,Ashchurch for Tewkesbury,0,51.9989,-2.10876,,,,,Europe/London,0
ASF,ASFIELD,Ashfield,0,55.88892,-4.24921,,,,,Europe/London,0
ASG,ALSAGER,Alsager,0,53.093,-2.29906,,,,,Europe/London,0
ASH,ASHH,Ash,2,51.2496,-0.71281,,,,,Europe/London,0
ASI,ASHFKI,ASHFORD INTL(CIV,1,0,0,,,,,Europe/London,0
ASK,ASKAM,Askam,0,54.18893,-3.20451,,,,,Europe/London,0
ASM,MNCRASM,AUDENSHAW MTLK,0,0,0,,,,,Europe/London,0
ASN,ADLESTN,Addlestone,0,51.37305,-0.48446,,,,,Europe/London,0
ASP,ASPTRIA,Aspatria,0,54.75896,-3.33187,,,,,Europe/London,0
ASS,ALNESS,Alness,0,57.69439,-4.24972,,,,,Europe/London,0
AST,ASTON,Aston,1,52.50423,-1.87193,,,,,Europe/London,0
ASY,ASHLEY,Ashley,0,53.35572,-2.34146,,,,,Europe/London,0
ATB,ATNBRO,Attenborough,0,52.90621,-1.23142,,,,,Europe/London,0
ATH,ATHRSTN,Atherstone,0,52.57897,-1.55281,,,,,Europe/London,0
ATL,ATTLBON,Attleborough,0,52.51455,1.02235,,,,,Europe/London,0
ATM,CATZATM,ATTYMON     (CIE,0,0,0,,,,,Europe/Dublin,0
ATN,ATHERTN,Atherton,0,53.52914,-2.47897,,,,,Europe/London,0
ATO,CATZATO,ATHLONE     (CIE,1,0,0,,,,,Europe/Dublin,0
ATR,CATZATR,ATHENRY     (CIE,1,0,0,,,,,Europe/Dublin,0
ATT,ATADALE,Attadale,0,57.39504,-5.45558,,,,,Europe/London,0
ATY,CATZATY,ATHY        (CIE,0,0,0,,,,,Europe/Dublin,0
AUD,AUDLEYE,Audley End,1,52.00444,0.20731,,,,,Europe/London,0
AUG,AGHTNPH,Aughton Park,0,53.55425,-2.89522,,,,,Europe/London,0
AUI,ARDLUI,Ardlui,0,56.30197,-4.72166,,,,,Europe/London,0
AUK,ACHILCK,Auchinleck,0,55.47027,-4.29535,,,,,Europe/London,0
AUL,MNCRALM,ASHTON U L MTLK,0,0,0,,,,,Europe/London,0
AUR,ABDO,Aberdour,0,56.05459,-3.30056,,,,,Europe/London,0
AUW,ASCTUWD,Ascott-under-Wychwood,0,51.86734,-1.56405,,,,,Europe/London,0
AVF,AVNCLFF,Avoncliff,0,51.33965,-2.28133,,,,,Europe/London,0
AVM,AVIEMRE,Aviemore,1,57.18851,-3.82887,,,,,Europe/London,0
AVN,AVONMTH,Avonmouth,1,51.50036,-2.69947,,,,,Europe/London,0
